28800	0	5
{
	{	62324	72056	20	}
	{	62324	56816	20	}
	{	62324	93556	20	}
	{	62324	9995513	20	}
	{	48718	72056	20	}
	{	48718	56816	20	}
	{	48718	93556	20	}
	{	48718	9995513	350	}
	{	83620	72056	20	}
	{	83620	56816	20	}
	{	83620	93556	20	}
	{	83620	9995513	20	}
	{	85760	72056	8	}
	{	85760	56816	8	}
	{	85760	93556	8	}
	{	85760	9995513	8	}
	{	72056	110320	20	}
	{	72056	83620	20	}
	{	72056	54744	20	}
	{	72056	9995513	20	}
	{	56816	110320	20	}
	{	56816	83620	20	}
	{	56816	54744	20	}
	{	56816	9995513	281	}
	{	93556	110320	20	}
	{	93556	83620	20	}
	{	93556	54744	20	}
	{	93556	9995513	20	}
	{	9995513	110320	280	}
	{	9995513	83620	20	}
	{	61614	93556	20	}
	{	93556	61614	800	}
	{	62324	56816	20	}
	{	72510	106998	700	}
	{	106998	72510	1100	}
	{	85760	72510	230	}
	{	85760	106998	70	}
	{	48718	106998	20	}
	{	48718	72510	20	}
	{	72510	54744	170	}
	{	106998	54744	170	}
	{	9995513	54744	20	}
	{	9995513	72056	20	}
	{	9995513	56816	20	}
}

29700	0	5
{
	{	62324	72056	20	}
	{	62324	56816	20	}
	{	62324	93556	20	}
	{	62324	9995513	20	}
	{	48718	72056	20	}
	{	48718	56816	20	}
	{	48718	93556	20	}
	{	48718	9995513	350	}
	{	83620	72056	20	}
	{	83620	56816	20	}
	{	83620	93556	20	}
	{	83620	9995513	20	}
	{	85760	72056	8	}
	{	85760	56816	8	}
	{	85760	93556	8	}
	{	85760	9995513	8	}
	{	72056	110320	20	}
	{	72056	83620	20	}
	{	72056	54744	20	}
	{	72056	9995513	20	}
	{	56816	110320	20	}
	{	56816	83620	20	}
	{	56816	54744	20	}
	{	56816	9995513	281	}
	{	93556	110320	20	}
	{	93556	83620	20	}
	{	93556	54744	20	}
	{	93556	9995513	20	}
	{	9995513	110320	280	}
	{	9995513	83620	20	}
	{	61614	93556	20	}
	{	93556	61614	800	}
	{	62324	56816	20	}
